Species,Match,EPBC status
Austrostipa jacobsiana,Yes,Critically Endangered
Caladenia attenuata,Yes,Critically Endangered
Caladenia pallida,Yes,Critically Endangered
Cassinia tegulata,Yes,Critically Endangered
Elatostema montanum,Yes,Critically Endangered
Euphrasia fragosa,Yes,Critically Endangered
Gastrolobium argyrotrichum,Yes,Critically Endangered
Gyrostemon reticulatus,Yes,Critically Endangered
Haloragis platycarpa,Yes,Critically Endangered
Hibbertia priceana,Yes,Critically Endangered
Homoranthus elusus,Yes,Critically Endangered
Kardomia prominens,Yes,Critically Endangered
Latrobea colophona,Yes,Critically Endangered
Oberonia attenuata,Yes,Critically Endangered
Paragoodia crenulata,Yes,Critically Endangered
Philotheca falcata,Yes,Critically Endangered
Pneumatopteris truncata,Yes,Critically Endangered
Prasophyllum laxum,Yes,Critically Endangered
Scaevola macrophylla,Yes,Critically Endangered
Solanum orgadophilum,Yes,Critically Endangered
Spyridium fontis-woodii,Yes,Critically Endangered
Stylidium applanatum,Yes,Critically Endangered
Styphelia longissima,Yes,Critically Endangered
Thynninorchis nothofagicola,Yes,Critically Endangered
Acacia porcata,Yes,Endangered
Allocasuarina robusta,Yes,Endangered
Aponogeton prolifer,Yes,Endangered
Aristida granitica,Yes,Endangered
Atalaya collina,Yes,Endangered
Atriplex yeelirrie,Yes,Endangered
Austrostipa wakoolica,Yes,Endangered
Bertya granitica,Yes,Endangered
Blechnum norfolkianum,Yes,Endangered
Bossiaea peninsularis,Yes,Endangered
Brachyscome muelleri,Yes,Endangered
Caladenia thysanochila,Yes,Endangered
Caladenia xantholeuca,Yes,Endangered
Calochilus psednus,Yes,Endangered
Calotis moorei,Yes,Endangered
Cyathea exilis,Yes,Endangered
Cyperus cephalotes,Yes,Endangered
Darwinia whicherensis,Yes,Endangered
Dendrobium brachypus,Yes,Endangered
Dendrobium mirbelianum,Yes,Endangered
Deyeuxia appressa,Yes,Endangered
Eremochloa muricata,Yes,Endangered
Eremophila ciliata,Yes,Endangered
Eryngium fontanum,Yes,Endangered
Fimbristylis adjuncta,Yes,Endangered
Frankenia conferta,Yes,Endangered
Frankenia plicata,Yes,Endangered
Gastrolobium humile,Yes,Endangered
Geniostoma huttonii,Yes,Endangered
Glyceria drummondii,Yes,Endangered
Lachnagrostis adamsonii,Yes,Endangered
Lachnagrostis limitanea,Yes,Endangered
Lepidium peregrinum,Yes,Endangered
Lepidosperma rostratum,Yes,Endangered
Leucopogon confertus,Yes,Endangered
Leucopogon nitidus,Yes,Endangered
Microcarpaea agonis,Yes,Endangered
Muehlenbeckia australis,Yes,Endangered
Olearia arckaringensis,Yes,Endangered
Olearia hygrophila,Yes,Endangered
Parsonsia dorrigoensis,Yes,Endangered
Phlegmariurus filiformis,Yes,Endangered
Planchonella costata,Yes,Endangered
Plectranthus omissus,Yes,Endangered
Polystichum moorei,Yes,Endangered
Prasophyllum secutum,Yes,Endangered
Pteris zahlbruckneriana,Yes,Endangered
Pultenaea elusa,Yes,Endangered
Ricinocarpos brevis,Yes,Endangered
Senecio evansianus,Yes,Endangered
Solanum graniticum,Yes,Endangered
Trachymene scapigera,Yes,Endangered
Veronica parnkalliana,Yes,Endangered
Xylosma parvifolia,Yes,Endangered
Acacia deuteroneura,Yes,Vulnerable
Acacia eremophiloides,Yes,Vulnerable
Acacia praemorsa,Yes,Vulnerable
Apatophyllum olsenii,Yes,Vulnerable
Aristida annua,Yes,Vulnerable
Atriplex infrequens,Yes,Vulnerable
Austrostipa metatoris,Yes,Vulnerable
Baloskion longipes,Yes,Vulnerable
Bertya calycina,Yes,Vulnerable
Bertya ernestiana,Yes,Vulnerable
Beyeria subtecta,Yes,Vulnerable
Cheiranthera volubilis,Yes,Vulnerable
Ctenopterella blechnoides,Yes,Vulnerable
Darwinia nubigena,Yes,Vulnerable
Deyeuxia pungens,Yes,Vulnerable
Dischidia litoralis,Yes,Vulnerable
Eleocharis papillosa,Yes,Vulnerable
Euphorbia obliqua,Yes,Vulnerable
Gentiana wissmannii,Yes,Vulnerable
Germainia capitata,Yes,Vulnerable
Goodenia integerrima,Yes,Vulnerable
Goodenia quadrifida,Yes,Vulnerable
Hibiscus cravenii,Yes,Vulnerable
Ileostylus micranthus,Yes,Vulnerable
Kardomia granitica,Yes,Vulnerable
Lasiopetalum longistamineum,Yes,Vulnerable
Lawrencia buchananensis,Yes,Vulnerable
Leionema sympetalum,Yes,Vulnerable
Leptomeria dielsiana,Yes,Vulnerable
Limosella granitica,Yes,Vulnerable
Lindsaea pulchella,Yes,Vulnerable
Logania diffusa,Yes,Vulnerable
Logania insularis,Yes,Vulnerable
Marsdenia paludicola,Yes,Vulnerable
Melaleuca kunzeoides,Yes,Vulnerable
Melicope littoralis,Yes,Vulnerable
Microlepidium alatum,Yes,Vulnerable
Minuria tridens,Yes,Vulnerable
Myriophyllum coronatum,Yes,Vulnerable
Newcastelia velutina,Yes,Vulnerable
Oreogrammitis reinwardtii,Yes,Vulnerable
Ozothamnus tesselatus,Yes,Vulnerable
Poa sallacustris,Yes,Vulnerable
Polianthion minutiflorum,Yes,Vulnerable
Pomaderris clivicola,Yes,Vulnerable
Pomaderris sericea,Yes,Vulnerable
Prasophyllum morganii,Yes,Vulnerable
Prasophyllum wallum,Yes,Vulnerable
Sclerolaena blakei,Yes,Vulnerable
Sclerolaena walkeri,Yes,Vulnerable
Senecio australis,Yes,Vulnerable
Senecio hooglandii,Yes,Vulnerable
Solanum dunalianum,Yes,Vulnerable
Stackhousia annua,Yes,Vulnerable
Tephrosia leveillei,Yes,Vulnerable
Trichanthodium baracchianum,Yes,Vulnerable
Triplarina nitchaga,Yes,Vulnerable
Westringia parvifolia,Yes,Vulnerable
