APC_name,Match
Senna pendula,No
Daucus carota,No
Hordeum murinum,No
Carpobrotus edulis,No
Convolvulus sabatius,No
Cakile maritima,No
Atriplex prostrata,No
Mentha pulegium,No
Olea europaea,No
Indigofera spicata,No
Emilia sonchifolia,No
Murraya koenigii,No
Lysimachia arvensis,No
Verbena bonariensis,No
Plantago coronopus,No
Celosia argentea,No
Passiflora foetida,No
Melissa officinalis,No
Oenothera stricta,No
Ajuga reptans,No
Romulea rosea,No
Crotalaria beddomeana,No
Cymbalaria muralis,No
Lobelia erinus,No
Hellenia speciosa,No
Gladiolus caryophyllaceus,No
Gazania rigens,No
Melinis repens,No
Selaginella kraussiana,No
Nandina domestica,No
Solanum seaforthianum,No
Agave americana,No
Calotropis procera,No
Cylindropuntia fulgida,No
Leucas lavandulifolia,No
Freesia leichtlinii,No
Indigofera suffruticosa,No
Papaver somniferum,No
Parentucellia latifolia,No
Oenothera drummondii,No
Salix babylonica,No
Oxypetalum coeruleum,No
Sonchus asper,No
Vicia sativa,No
Aira cupaniana,No
Lactuca serriola,No
Salvia coccinea,No
Soleirolia soleirolii,No
Rivina humilis,No
Argemone ochroleuca,No
Apium graveolens,No
Solanum triflorum,No
Fraxinus angustifolia,No
Trifolium repens,No
Bromus madritensis,No
Symphyotrichum subulatum,No
Silene gallica,No
Persicaria capitata,No
Phytolacca americana,No
Prunella vulgaris,No
Arrhenatherum elatius,No
Grewia asiatica,No
Crotalaria pallida,No
Hypericum perforatum,No
Macroptilium atropurpureum,No
Vigna unguiculata,No
Verbascum thapsus,No
Nicotiana tabacum,No
Megathyrsus maximus,No
Centaurium tenuiflorum,No
Quercus robur,No
Fumaria muralis,No
Macrotyloma axillare,No
Crassula sarmentosa,No
Petasites pyrenaicus,No
Cotoneaster coriaceus,No
Stylosanthes scabra,No
Lavandula dentata,No
Tristemma mauritianum,No
Catharanthus roseus,No
Cylindropuntia imbricata,No
Tradescantia zebrina,No
Tragopogon porrifolius,No
Romulea flava,No
Cyperus papyrus,No
Passiflora edulis,No
Crassula natans,No
Alternanthera sessilis,No
Enydra fluctuans,No
Hesperantha falcata,No
Koelreuteria elegans,No
Lycianthes rantonnetii,No
Azadirachta indica,No
Laurus nobilis,No
Fumaria capreolata,No
Avena barbata,No
Hordeum distichon,No
Beta vulgaris,No
Erodium cicutarium,No
Aesculus hippocastanum,No
Crotalaria laburnifolia,No
Stylosanthes viscosa,No
Capsicum annuum,No
Limonium companyonis,No
Crassula tetragona,No
Epilobium ciliatum,No
Allium cepa,No
Leucojum aestivum,No
Thinopyrum elongatum,No
Pastinaca sativa,No
Phytolacca octandra,No
Cucurbita maxima,No
Syzygium cumini,No
Pontederia crassipes,No
Kniphofia uvaria,No
Clitoria ternatea,No
Prunus persica,No
Solanum lycopersicum,No
Paspalum notatum,No
Cucumis myriocarpus,No
Mesosphaerum suaveolens,No
Oxalis hirta,No
Alternanthera brasiliana,No
Gladiolus dalenii,No
Kickxia spuria,No
Tillandsia usneoides,No
Suaeda baccifera,No
Cerastium glomeratum,No
Limonium sinuatum,No
Solanum sisymbriifolium,No
Euphorbia cyathophora,No
Juncus acutus,No
Acer negundo,No
Lolium perenne,No
Plumbago auriculata,No
Digitaria didactyla,No
Sonchus oleraceus,No
Brassica oleracea,No
Aloe vera,No
Cotoneaster glaucophyllus,No
Tithonia diversifolia,No
Baccharis halimifolia,No
Suaeda aegyptiaca,No
Mimosa pudica,No
Lepidium africanum,No
Crassula muscosa,No
Trifolium arvense,No
Trifolium angustifolium,No
Crassula ericoides,No
Lonicera japonica,No
Trifolium campestre,No
Medicago sativa,No
Solanum elaeagnifolium,No
Brassica rapa,No
Juncus effusus,No
Ehrharta erecta,No
Crassula multicava,No
Lapsana communis,No
Rostraria pumila,No
Gypsophila tubulosa,No
Leontodon saxatilis,No
Cynara cardunculus,No
Chamaecrista rotundifolia,No
Solanum radicans,No
Erica baccans,No
Oxalis corniculata,No
Asystasia gangetica,No
Garcinia xanthochymus,No
Gomphocarpus fruticosus,No
Zingiber zerumbet,No
Leucanthemum vulgare,No
Crotalaria lanceolata,No
Setaria sphacelata,No
Freesia laxa,No
Indigofera circinella,No
Tecoma stans,No
Verbena litoralis,No
Digitaria ciliaris,No
Hyparrhenia rufa,No
Cucumis anguria,No
Ricinus communis,No
Gnaphalium polycaulon,No
Cenchrus spinifex,No
Atriplex lentiformis,No
Drymaria cordata,No
Cenchrus setiger,No
Costus dubius,No
Phytolacca dioica,No
Centranthus ruber,No
Pyrostegia venusta,No
Hypoestes aristata,No
Syagrus romanzoffiana,No
Matthiola incana,No
Hedychium gardnerianum,No
Sedum praealtum,No
Arundo donax,No
Grona triflora,No
Polygala paniculata,No
Asphodelus fistulosus,No
Romulea minutiflora,No
Petrorhagia dubia,No
Lamium amplexicaule,No
Acer palmatum,No
Lotononis bainesii,No
Hordeum marinum,No
Gastridium ventricosum,No
Myosotis sylvatica,No
Zinnia peruviana,No
Campsis radicans,No
Tanacetum vulgare,No
Tritonia gladiolaris,No
Lantana camara,No
Herbertia lahue,No
Polycarpon tetraphyllum,No
Dactylis glomerata,No
Bauhinia variegata,No
Juncus articulatus,No
Ixia polystachya,No
Cirsium vulgare,No
Crepis foetida,No
Aeonium arboreum,No
Tribolium obliterum,No
Erigeron canadensis,No
Kickxia elatine,No
Murdannia nudiflora,No
Escallonia rubra,No
Ranunculus flammula,No
Bunchosia glandulifera,No
Passiflora suberosa,No
Lotus corniculatus,No
Salvia verbenaca,No
Mirabilis jalapa,No
Vinca major,No
Vachellia nilotica,No
Senna siamea,No
Actinidia chinensis,No
Ulex europaeus,No
Mangifera indica,No
Ranunculus sceleratus,No
Oxalis pes-caprae,No
Heliophila pusilla,No
Hedera helix,No
Trifolium resupinatum,No
Ambrosia artemisiifolia,No
Vachellia farnesiana,No
Epiphyllum phyllanthus,No
Viburnum odoratissimum,No
Mesosphaerum pectinatum,No
Watsonia borbonica,No
Crepis vesicaria,No
Bromus tectorum,No
Avellinia festucoides,No
Psilurus incurvus,No
Spiraea cantoniensis,No
Trifolium fragiferum,No
Rumex pulcher,No
Pentameris airoides,No
Populus nigra,No
Cascabela thevetia,No
Claytonia perfoliata,No
Cirsium arvense,No
Aloe maculata,No
Salix cinerea,No
Cabomba caroliniana,No
Solanum pseudocapsicum,No
Buddleja globosa,No
Stigmaphyllon ciliatum,No
Carex distans,No
Rosa bracteata,No
Prunus armeniaca,No
Pinus palustris,No
Melaleuca transversa,No
Lamium argentatum,No
Chamaecytisus palmensis,No
Baumea articulata,No
Chrysanthemoides monilifera,No
Dracaena trifasciata,No
Plectranthus caninus,No
Pteridium aquilinum,No
Aira elegantissima,No
Alyssum linifolium,No
Plectranthus amboinicus,No
Molineriella minuta,No
Piptatherum miliaceum,No
enecio albogilvus,No
Amelichloa caudata,No
